Field Number(s),Common Name,Observation Date,Observation Year,How Observed,Observation Status,Final SIM Status,In MMHSRP Stranding DB,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Date of Examination,Condition at Examination,Vessel Type,Sex,Age Class,Length,Length Units,Necropsied,Date of Necropsy,Carcass Disposition,Additional Remarks,
LACM-JPD-461,Fin Whale,4/10/2009,2009,Floating,Fresh Dead,DEAD,Yes,CA,15-Los Angeles,LOS ANGELES,"PORT OF L.A., ORIGINALLY FLOATING IN CERRITOS CHANNEL AND TOWED TO BERTH 194",,decimal degrees,,decimal degrees,4/10/2009,Fresh Dead,Shipping,MALE,ADULT,744,in,Y,4/10/2009,Towed,"OBSERVED AT 5AM ON BOW OF CONTAINER SHIP; FLOATED OFF BOW AND INTO CHANNEL, TOWED TO DOCK AND MOVED ON SHORE BY PORT OF L.A. AUTHORITIES AREA DORSAL OF LEFT PECTORAL FIN DISSECTED TO MUSCLE LAYER, SIGNIFICANT BRUISING AND BLOOD LOSS, NUMEROUS SMALL BONE FRAGMENTS FROM SCAPULA OPENED STOMACH CAVITY AND COLLECTED FECAL MATTER AND BILE FROM INTESTINES CARVED #460 INTO LEFT MIDLINE HALFWAY BETWEEN PECTORAL AND DORSAL FIN",
09Er27AprWI-01,Gray Whale,4/27/2009,2009,Floating,Fresh Dead,DEAD,Yes,WA,Island,Whidbey,NASWI sea plane base. Carcass floating in Saratoga Passage towed to this isolated site,48.28059,decimal degrees,-122.5587,decimal degrees,4/27/2009,Fresh Dead,Unknown,MALE,ADULT,1275,cm,Y,4/29/2009,Left at Site,"Level A: animal was first observed on Apr 27, 2009 floating in Saratoga Passage. An attempt was made to tow the carcass to the sea plane base.It failed. A blubber sample was obtained. A larger boat managed to tow the carcass to Polnell Point, NASWI, sea plane base. Necropsy: performed by the additional identifiers above on April 29, 2009. Blubber: dorsal 9.3 cm, lateral 9.1 cm, ventral 9.0 cm. Fluke width 319 cm. Whale measured 41 feet in length. Fair body condition. Moderate decomp. Large amount of blood in body cavity, bruising in some areas of the blubber layer and in some internal organs.Stomach full of recently ingested prey (ghost shrimp). Findings suggestive of blunt force trauma, likely caused by collision with a large ship. Histological testing: Dr. Stephen Raverty. Post mortem decomp and artifactual sloughing of the mucosa from multiple viscera hindered microscopic assessment of the tissues and precluded precise determination of possible antemortem trauma or post mortem putrifaction. In gray whales it is not unusual to observe large quantities of serosanguinous acsites, however, without the presence of blood clots or fibrin deposition along serosal surfaces it is difficult to differentiate frank hemorrhage vs post mortem pooling of fluid within the abdomen. There were no significant lesions within the tissues.The levels of BUN, calcium and phosphorus appear within acceptable limits for a stranded cetacean. PCR of pooled tissues was negative for morbillivirus. No bacteria isolated. The carcass was left at site for cleaning by scavengers. Several weeks later the CPSMMSN collected as many bones as could be found, including the entire skull, mandible and baleen, vertebrae, ribs, scapulae for educational/scientific purposes. Bones collected for educational/scientific use: skull left and right mandibles scapulae 13 ribs right side 12 ribs left side sternum atlas axis 7 cervical vertebrae 27 other vertebrae hyoid arch (3 bones) hip bones (2)",
200905002,Gray Whale,5/1/2009,2009,Swimming,Alive,SERIOUS INJURY,Yes,CA,15-Los Angeles,EL SEGUNDO,2 MILES OFFSHORE EL SEGUNDO,33 52,decimal degrees,119 27,decimal degrees,5/1/2009,Alive,Ferry,UNKNOWN,CALF,0,cm,NA,,Left at Site,"CATALINA ISLAND TRANSPORT CATAMARAN COLLIDED WITH FREE-SWIMMING CALF ACCOMPANIED BY ADULT ANIMAL; CALF SUBMERGED AT TIME OF COLLISION; PIECES OF FLESH AND BLOOD OBSERVED IN WATER; ADULT ANIMAL BUMPED THIS AND ANOTHER TRANSPORT VESSEL FROM UNDERNEATH FOLLOWING COLLISION WITH CALF; BOTH VESSELS STAYED IN IMMEDIATE AREA FOR 20 MINUTES FOLLOWING COLLISION; CALF NEVER SURFACED, PRESUMED DEAD; CATALINA ISLAND TRANSPORT VESSEL COLLIDED WITH FREE-SWIMMING CALF ACCOMPANIED BY ADULT; CALF WAS SUBMERGED AT TIME OF COLLISION; PIECES OF FLESH & BLOOD OBSERVED IN WATER; CALF NEVER SURFACED; PRESUMED MORTALITY. VESSEL SIZE = 85 FT. SPEED = 27 KTS.",
SWFSC-XXX0061,Fin Whale,5/6/2009,2009,Swimming,Alive,SERIOUS INJURY,Yes,CA,17-San Diego,NA,9.5 MILES SOUTH OF SAN CLEMENTE ISLAND,32.39,decimal degrees,–118.24,decimal degrees,5/6/2009,Alive,Unknown,FEMALE,UNKNOWN,0,cm,NA,,Left at Site,U.S. NAVY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; BLOOD & FLESH OBSERVED IN WATER; SPECIES I.D. DETERMINED THROUGH GENETIC ANALYSIS OF SKIN TISSUE BY SWFSC; PRESUMED MORTALITY. VESSEL SIZE = 567 FT. VESSEL SPEED = 16 KTS.,
WDFW2009-066,Fin Whale,8/7/2009,2009,Floating,Fresh Dead,DEAD,Yes,WA,Pierce,Tacoma,"Port of Tacoma/Blair Waterway, WA",47.2046,decimal degrees,-122.642,decimal degrees,8/7/2009,Fresh Dead,Unknown,MALE,SUBADULT,1423,cm,Y,8/8/2009,Left at Site,"#9, #8 left rib broken from posterior, multiple bone fragments and front blood and hemorrhage on wall of rib cage. Due to history and external and internal exam suspect ship strike.",
090909ErSS,Gray Whale,9/9/2009,2009,Swimming,Alive,SERIOUS INJURY (PRORATE),No,WA,CLALLAM,NO DATA,Quileute River,47 54.5,dms,124 38.4,dms,NO DATA,NO DATA,USCG,UNKNOWN,ADULT,47,ft,NO DATA,NO DATA,NO DATA,"USCG VESSEL TRAVELING AT 10 KNOTS WHEN THEY HIT A GRAY WHALE ON 9/9/2009. THE ANIMAL WAS HIT WITH THE PROP AND WAS REPORTED ALIVE AFTER BEING HIT, BLOOD OBSERVED IN WATER.",
MLML-MM-2088,Blue Whale,10/9/2009,2009,Floating,Advanced Decomposition,DEAD,Yes,CA,11-Monterey,BIG SUR,KIRK CREEK,35.985,decimal degrees,121.4926,decimal degrees,10/12/2009,Advanced Decomposition,Unknown,MALE,SUBADULT,1630,cm,Y,10/12/2009,Left at Site,"WHALE TOWED FROM KIRK CREEK TO SAN CARPOFORO CREEK (35.76599N, 121.32427W) FOR NECROPSY LED BY D. CASPER AND S. DOVER. ORGANS WERE TOO SOUPY FOR MOST SAMPLE COLLECTION. SEVERAL VERTEBRAE WERE CRACKED/BROKEN, WHICH SUGGESTS SHIP STRIKE. FULL NECROPSY REPORT FILED BY E. ANDREWS/D. CASPER. FRACTURED VERTEBRAL BODIES, DORSAL & TRANSVERSE PROCESSES, & END PLATES; VERTEBRAE FRACTURED CAUDAL TO RIBS, NO FRACTURED RIBS; SUBCUTANEOUS TISSUE & MUSCLE HEMORRHAGING IN AREA OF VERTEBRAL TRAUMA; CARCASS EXAMINED BY LONG MARINE LABORATORY, MOSS LANDING MARINE LABORATORIES, THE MARINE MAMMAL CENTER & OTHERS",
HSU-VM-2777,Blue Whale,10/19/2009,2009,Swimming,Alive,DEAD,Yes,CA,03-Mendocino,FORT BRAGG,1 MILE OFFSHORE FORT BRAGG,39 22.0333,decimal degrees,–123 50.8648,decimal degrees,10/20/2009,Fresh Dead,Research,FEMALE,ADULT,2240,cm,N,,Buried,"161 FOOT RESEARCH VESSEL TRAVELING AT 5.5 KNOTS COLLIDED WITH FREE-SWIMMING ANIMAL; THE ANIMAL WAS NOT OBSERVED PRIOR TO THE COLLISION; A LARGE SHUDDER WAS FELT ON THE VESSEL PRIOR TO THE STALLING OF THE PORT ENGINE; A LARGE WHALE THEN SURFACED OFF THE STERN PROFUSELY BLEEDING FROM A WOUND TO THE DORSUM; THE WHALE INITIATED A SERIES OF 3-4 SHALLOW DIVES BEFORE ROLLING ONTO ITS SIDE & FLOATING AT THE SURFACE; ANIMAL LATER WASHED UP DEAD IN A COVE AT THE FOOT OF 33600 SCHOEFER LANE IN FORT BRAGG, SOUTH OF MENDOCINO COAST BOTANICAL GARDEN; HYDROGRAPHIC SURVEY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; MORTALITY; CARCASS WASHED ASHORE SOUTH OF MENDOCINO; TWO DEEP DIAGONAL PROPELLER-LIKE CUTS ACROSS BACK & EXTENDING INTO VERTEBRAE & INTERVERTEBRAL DISKS; TWO FRACTURED POSTERIOR VERTEBRAE; CARCASS EXAMINED BY HSU-VM ",
CAS-EAW-040,Sperm Whale,11/23/2009,2009,Beach or Land,Advanced Decomposition,DEAD,Yes,CA,04-Marin,,SOUTH BEACH (POINT REYES NATIONAL SEASHORE),38.04702,decimal degrees,-122.98975,decimal degrees,11/24/2009,Advanced Decomposition,Unknown,FEMALE,SUBADULT,930,cm,Y,11/24/2009,Left at Site,"HEMORRAGHING TO BACK - BLUNT FORCE TRAUMA, POSSIBLE SHIP STRIKE",
CRC-1022,Bryde's Whale,1/16/2010,2010,Floating,Fresh Dead,NO DATA,Yes,WA,Kitsap,Vaughn,Dutcher Cove,47.3072,decimal degrees,-122.7911,decimal degrees,1/18/2010,Fresh Dead,Unknown,MALE,SUBADULT,1185,cm,Y,1/19/2010,Towed,"evidence of old entanglement injury on L fluke, old prop scars on R side of back ahead of dorsal fin, both injuries healed over",
LACM-DSJ-2273,Gray Whale,2/4/2010,2010,Beach or Land,Moderate Decomposition,NO DATA,Yes,CA,15-Los Angeles,SAN PEDRO,"LOS ANGELES HARBOR, NAVAL MOLE, NIMITZ ROAD",33.4428,decimal degrees,–118.1345,decimal degrees,2/4/2010,Moderate Decomposition,Unknown,FEMALE,CALF,447,cm,N,,Towed,NO DATA,
201002059,Gray Whale,2/16/2010,2010,Swimming,Alive,SERIOUS INJURY,Yes,CA,17-San Diego,NA,JUST OUTSIDE OF THE BAY ALONG THE KELP LINE,32.42061,decimal degrees,–117.12392,decimal degrees,NA,NA,Unknown,UNKNOWN,UNKNOWN,0,cm,NA,NA,NA,FREE-SWIMMING ANIMAL WITH PROPELLER-LIKE WOUNDS TO DORSUM.,
201003096,Gray Whale,3/12/2010,2010,Swimming,Alive,SERIOUS INJURY,Yes,CA,13-Santa Barbara,NA,OFFSHORE SAN CLEMENTE ISLAND,,decimal degrees,,decimal degrees,NA,NA,Unknown,FEMALE,UNKNOWN,0,cm,NA,NA,NA,21 METER SAILBOAT UNDERWAY AT 13 KTS COLLIDED WITH FREE-SWIMMING ANIMAL; WHALE BREACHED SHORTLY AFTER COLLISION; NO BLOOD OBSERVED IN WATER; MINOR DAMAGE TO LOWER PORTION OF BOAT'S KEEL; FINAL STATUS UNKNOWN.,
BLANK,Unidentified Whale,3/29/2010,2010,Swimming,Alive,SERIOUS INJURY,No,CA,15-Los Angeles,Los Angeles,"SAN PEDRO CHANNEL, BETWEEN SAN PEDRO & SANTA CATALINA ISLAND",,decimal degrees,,decimal degrees,,NO DATA,Ferry,UNKNOWN,UNKNOWN,0,CM,NA,NA,NA,"COMMERCIAL ISLAND PASSENGER TRANSPORT CATAMARAN VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; NO BLOOD OBSERVED IN WATER; COLLISION DISLODGED VESSEL'S STARBOARD T-FOIL; FINAL STATUS UNKNOWN; COMMERCIAL ISLAND PASSENGER TRANSPORT CATAMARAN VESSEL, 37 METERS LONG DOING 28 KNOTS, COLLIDED WITH FREE-SWIMMING ANIMAL; NO BLOOD OBSERVED IN WATER; COLLISION DISLODGED VESSEL'S STARBOARD T-FOIL; FINAL STATUS UNKNOWN",
CRC-1035,Gray Whale,4/14/2010,2010,Swimming,Alive,NO DATA,Yes,WA,King,Seattle,near Fontleroy,47.522805,decimal degrees,-122.39428,decimal degrees,4/14/2010,Fresh Dead,Unknown,MALE,ADULT,1132,cm,Y,4/18/2010,Towed,"live stranded on evening of April 14, 2010, died shortly thereafter. towed to McNeil Islad on April 17 for necropsy (47.12.28/122.38.51) probable prop marks on left side of head near blowhole-healing",
TMMC-C-327,Humpback Whale,7/25/2010,2010,Floating,Fresh Dead,DEAD,Yes,CA,04-Marin,NA,Slide Ranch,37.8756,decimal degrees,–122.6023,decimal degrees,8/4/2010,Advanced Decomposition,Unknown,MALE,CALF,823,cm,N,,Left at Site,CARCASS WITH PROPELLER WOUNDS OBSERVED FLOATING.,
2010080048,Blue Whale,8/4/2010,2010,Swimming,Alive,SERIOUS INJURY,Yes,CA,11-Monterey,Monterey,offshore monterey,36.7,decimal degrees,–121.968611,decimal degrees,NA,NA,WhaleWatch,UNKNOWN,UNKNOWN,0,cm,N,,,"REPORT FROM CAPTAIN OF STRIKING A WHALE. WHALEWATCH VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; REPORT IS OF ANIMAL STRUCK MID-BODY, DIVING FOLLOWING STRIKE, NO BLOOD OBSERVED IN WATER AND ANIMAL NOT RESIGHTED. VESSEL SIZE ASSUMED IN EXCESS OF 65 FT. AND SPEED UNKNOWN.",
SBMNH-2010-31,Blue Whale,8/25/2010,2010,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,13-Santa Barbara,San Miguel Island,Northwest Cove,34.03384,decimal degrees,–120.61297,decimal degrees,9/28/2010,Advanced Decomposition,Unknown,FEMALE,SUBADULT,2134,cm,N,,Left at Site,MULTIPLE FRAGMENTS OF VERTEBRAE & RIBS IN ABDOMINAL CAVITY,
TMMC-C-334,Fin Whale,9/16/2010,2010,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,07-Alameda,Oakland,"PORT OF OAKLAND, ON BOW OF SHIP DOCKED AT BERTH 57",37.796715,decimal degrees,-122.316542,decimal degrees,9/16/2010,Moderate Decomposition,Shipping,MALE,UNKNOWN,0,cm,N,NA,Towed,VESSEL CAME INTO PORT WITH WHALE ON BOW; VESSEL TRANSIT WAS APPROXIMATELY 27 HOURS AND WHALE MAY HAVE BEEN DEAD PRIOR TO BEING STRUCK AND IMPINGED BASED UPON WOUNDS AND DECOMPOSITION; ANIMAL BROUGHT INTO PORT OF OAKLAND IMPINGED ON BOW OF SHIP; STRIKE MAY BE POST-MORTEM,
CAS-MEF-588,Fin Whale,9/19/2010,2010,Beach or Land,Advanced Decomposition,DEAD,Yes,CA,08-San Francisco,San Francisco,Ocean Beach at Lawton Street.,37.757289,decimal degrees,122.510513,decimal degrees,9/20/2010,Advanced Decomposition,Unknown,UNKNOWN,SUBADULT,1540,cm,N,,Buried,"BROKEN VERTEBRAE, LINEAR LACERATION",
TMMC-C-337,Blue Whale,10/2/2010,2010,Beach or Land,Advanced Decomposition,DEAD,Yes,CA,09-San Mateo,NA,Bean Hollow State Beach (Monterey Bay National Marine Sanctuary) 400 yards North of South parking lot.,37.227088,decimal degrees,–122.410583,decimal degrees,10/3/2010,Advanced Decomposition,Unknown,FEMALE,ADULT,2430,cm,Y,10/6/2010,Left at Site,"Dead blue whale with dead male fetus (C-337-F, 525 cm) lying next to adult. BROKEN BONES AND HEMORRHAGE CONSISTENT WITH VESSEL STRIKE",
CRC-1135,Bryde's Whale,12/4/2010,2010,Beach or Land,Fresh Dead,DEAD,Yes,WA,Mason,Shelton,"Pickering Passage, W Side, N of Squaxin Island",47.2241,decimal degrees,-122.9375,decimal degrees,12/4/2010,Fresh Dead,Unknown,MALE,SUBADULT,1050,cm,Y,12/6/2010,Towed,"SIGHTED ALIVE ON 11/25/10. ANIMAL INJURED AND NOT SURFACING NORMALLY. EXTERNAL EVIDENCE OF PROPELLER MARKS. WASHED UP DEAD ON 12/4/10 AND TOWED FOR NECROPSY ON 12/6/10. DETERMINED TO BE ONE OR MORE VESSEL STRIKES.(1) prop wounds on back (R of midline), 402cm from snout. (2) large gaping wound across midline on back (110x95x25), 500cm from snout, sheared off top 7cm of one vertebrae (fragment still attached), and at least one more vertebrae. (3) laceration on L sid",
BLANK,Gray Whale,1/22/2011,2011,Swimming,Alive,SERIOUS INJURY,No,CA,17-San Diego,,OFFSHORE SAN DIEGO NEAR MEXICAN BORDER,,decimal degrees,,decimal degrees,NA,NA,Recreational,UNKNOWN,CALF,0,cm,N,NA,NA,PLEASURE SAILBOAT COLLIDED WITH FREE-SWIMMING ANIMAL; ANIMAL DOVE IMMEDIATELY FOLLOWING CONTACT & WAS NOT RESIGHTED; NO BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN. VESSEL SIZE ASSUMED LESS THAN 65 FT. AND SPEED UNKNOWN.,
BLANK,Gray Whale,2/12/2011,2011,Swimming,Alive,SERIOUS INJURY,No,CA,15-Los Angeles,,OFFSHORE BETWEEN LONG BEACH & CATALINA ISLAND,,decimal degrees,,decimal degrees,NA,NA,Recreational,UNKNOWN,UNKNOWN,0,cm,N,NA,NA,"PRIVATE RECREATIONAL VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; ANIMAL BREACHED JUST PRIOR TO CONTACT, BOUNCING OFF SIDE OF VESSEL; DOVE IMMEDIATELY FOLLOWING CONTACT & WAS NOT RESIGHTED; NO BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN; SKIN SAMPLE COLLECTED FROM VESSEL AND GENETICALLY IDENTIFIED AS A FEMALE GRAY WHALE. VESSEL SIZE ASSUMED LESS THAN 65 FT AND SPEED UNKNOWN.",
BLANK,Unidentified Whale,3/28/2011,2011,Swimming,Alive,SERIOUS INJURY,No,MEX,18-Mexico,,OFFSHORE ENSENADA,,decimal degrees,,decimal degrees,NA,NA,Cruise,UNKNOWN,UNKNOWN,0,cm,N,NA,NA,PASSENGER CRUISE SHIP COLLIDED WITH FREE-SWIMMING ANIMAL,
TMMC-C-341,Gray Whale,4/18/2011,2011,Floating,Fresh Dead,DEAD,Yes,CA,04-Marin,NA,Angel Island State Park - Perles Beach,37.855627,decimal degrees,–122.4398730,decimal degrees,4/19/2011,Fresh Dead,Unknown,MALE,ADULT,1145,cm,Y,4/19/2011,Left at Site,CRUSHED MANDIBLE,
LACM-DSJ-2320,Humpback Whale,5/8/2011,2011,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,15-Los Angeles,San Pedro,"Royal Palms Beach, White Point",33.715,decimal degrees,–118.318889,decimal degrees,5/8/2011,Moderate Decomposition,Unknown,UNKNOWN,SUBADULT,445,in,N,,Towed,"ANIMAL STRUCK JUST FORWARD OF THE DORSAL FIN. ONLY 20 FT OF THE ANIMAL REMAINED AFTER THE PROPELLER CUT THE HEAD, PECTORAL FINS AND THORACIC CAVITY AWAY",
110512MnBC,Humpback Whale,5/12/2011,2011,Swimming,Alive,NOT SERIOUS INJURY,No,OR,CLATSOP,Astoria,Astoria,,decimal degrees,,decimal degrees,NA,NA,Recreational,UNKNOWN,UNKNOWN,30,ft,NA,NA,NA,A 38' SAILBOAT PARTICIPATING IN A RACE WAS STRUCK BY A BREACHING WHALE. RIGGING AND MAST WAS DAMAGED AND SKIN WAS LEFT BEHIND. SIZE OF WHALE ESTIMATED AT 30 FT. VESSEL WAS TRAVELLING APPROXIMATELY 9 KTS,
TMMC-C-343,Gray Whale,6/11/2011,2011,Beach or Land,Fresh Dead,DEAD,Yes,CA,09-San Mateo,Pescadero,Pescadero State Beach - North,37.267,decimal degrees,–122.417,decimal degrees,6/11/2011,Fresh Dead,Unknown,FEMALE,SUBADULT,860,cm,Y,6/12/2011,Left at Site,"MASSIVE HEMORRHAGE INTO THE THORAX, BLOOD CLOTS AROUND LUNGS. LESIONS INDICATE MASSIVE TRAUMA. DUE TO CARCASS POSITION, THE SKELETON COULD NOT BE COMPLETELY EXAMINED (LYING ON BACK, TOP OF SKULL IN SAND); 25 ft, no odor, no bloating, body intact, slash marks on body, white baleen.",
SWFSC-KXD0209,Fin Whale,11/19/2011,2011,Beach or Land,Fresh Dead,DEAD,Yes,CA,17-San Diego,POINT LOMA,"SUNSET CLIFFS, IN COVE BELOW WASTE WATER TREATMENT PLAN",32.681109,decimal degrees,–117.248331,decimal degrees,11/23/2011,Moderate Decomposition,Unknown,FEMALE,ADULT,2000,cm,Y,11/23/2011,Sunk,fractures along 4 meter length of vertebral column and significant muscle hemorrhage surrounding this area indicate ante-mortem ship strike. Carcass sunk 5 miles off La Jolla as part of whale fall study. fractured vertebral processes; FETUS FOUND LAYING NEXT TO FEMALE ON NOV. 21. PRESUME DECOMP GASES EXPELLED IT,
PSU12-01-21-Pm,Sperm Whale,1/21/2012,2012,Beach or Land,Advanced Decomposition,DEAD,Yes,WA,Pacific,Long Beach,just north of 199th Pl,46.44696,decimal degrees,-124.05956,decimal degrees,1/21/2012,Advanced Decomposition,Unknown,UNKNOWN,SUBADULT,1160,cm,Y,1/23/2012,Buried,skull severely fractured; back appeared to be broken; hemorrhage at head and right scapula,
SWFSC-XXX0096,Fin Whale,4/3/2012,2012,Floating,Fresh Dead,NO DATA,Yes,CA,17-San Diego,NA,offshore San Diego,32.51805556,decimal degrees,–117.2213888888,decimal degrees,4/5/2012,Moderate Decomposition,Unknown,MALE,SUBADULT,0,cm,N,,Buried,"Animal initially reported to be a blue whale by private citizen, but then confirmed to be a fin whale. Initially sighted in Pacific ocean floating by Pacific Nature Tours, who provided the photos. She believed the animal had been ship strike. The animal washed up on the beach in Tijuana Mexico April 5 2012. It was buried in a shallow grave and became exposed on April 7, 2012. It was reburied. Mexican officials did say trauma to back (near head). Another individual provided underwater photos to show signs of possible ship strikes. Pacific Nature Tours saw animal at 32 32 05N 117 13 12W...another citizen saw it at 32 33 2N 117 15 8 W on April 3",
TMMC-C-363,Fin Whale,6/21/2012,2012,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,04-Marin,NA,Palomarin Beach - half mile north of coast trail access point,37.930955,decimal degrees,–122.747186,decimal degrees,6/22/2012,Moderate Decomposition,Unknown,MALE,SUBADULT,1432,cm,Y,6/22/2012,Left at Site,"FRACTURED RIBS, VERTEBRAE. NECROPSY PERFORMED BY THE MARINE MAMMAL CENTER AND NATIONAL PARK SERVICE.",
071912UnkSS,Unidentified Whale,7/19/2012,2012,Swimming,Alive,NO DATA,Yes,OR,,,between Roseburg and Eugene,44.083,decimal degrees,124.391,decimal degrees,NA,NA,Recreational,Unknown,Unknown,0,cm,NA,NA,NA,"Vessel was a 225 ft. private motor yacht (named Attessa) traveling at 12 knots the people aboard the yacht were watching whales in the distance off port side, the whale that got hit was first spotted when it was about 30 feet from the boat on the starboard side. Animal then dove, and hit the boat at about 19:10. Animal was resighted about 100 yards aways and blood was oberved in the blow, animal was not resighted. The visiblilty was 3-5 miles, there had been patchy fog but it was clear when incident took place, wind less then 10 knots, overcast sky, and about a two foot swell. Carter, Corey ( who can be reached at (206)-708-4986) has been a captain for 30 years and has never had anything like this happen before, previously encountered whales were alert this one seemed almost disoriented. Off the coast of California captain had recieved warnings of high whale concentrations on NavTech, but the warning was not directed near the area where incident took place. Small rorqual captain thought it might be a minke",
073112UnkSS,Unidentified Whale,7/31/2012,2012,Swimming,Alive,NO DATA,Yes,OR,,,Oregon Coast,44-46.5,dms,125-26.2,dms,NA,NA,USCG,Unknown,Unknown,0,cm,NA,NA,NA,"AT 0827 THE MARINE MAMMAL SURFACED APPROXIMATELY 100FT OFF THE STARBOARD BOW AND IMMEDIATELY DOVE BENEATH THE SURFACE. THERE WAS AN AUDIBLE REVERBERATION THROUGH THE FORWARD AND UNDERWATER PORTIONS OF THE CUTTER AS THE MAMMAL APPEARED TO STRIKE IN THE VICINITY OF THE BOW.INJURY AND SAW NEITHER A MAMMAL OR ANY SIGNS OF INJURY. THE QMOW MARKED THE GPS LOCATION OF WHERE THE POSSIBLE STRIKE OCCURRED. NO INJURED OR DECEASED MAMMALS WERE OBSERVED IN THE AREA. 10-20 feet in visible length, little to no dorsal, and bushy spout",
080812UnkSS,Unidentified Whale,8/8/2012,2012,Swimming,Alive,NO DATA,Yes,OR,,,~ 40nm off the southern Oregon Coast,43 23,decimal degrees,125 12,decimal degrees,NA,NA,US NAVY,Unknown,Unknown,0,cm,NA,NA,NA,"While transiting from Seattle to San Diego, a Navy Arleigh Burke class destroyer reported striking a whale. Lookouts aboard vessel saw the whale underwater after the strike but could not identify it. The whale dove away and did not resurface. The ship was not using sonar or explosives. The ship reported no injuries or damage. No injuries were seen on the whale (no blood on the water, no in-water tissue, etc). This took place on 8/8/12 at 12:54 pm PDT. Whale is described as ~25 feet long; gray with white belly. Whale was seen alive after the strike but dove from view. Ship was moving due south at 18 knots and the whale was moving from east to west. ",
NONE-ASSIGNED,Unidentified Whale,8/16/2012,2012,Swimming,Alive,SERIOUS INJURY,No,CA,15-Los Angeles,,"APPROXIMATELY 9 MILES SE OF POINT FERMIN, ON ROUTE BETWEEN AVALON AND LONG BEACH",33.5908,decimal degrees,-118.22,decimal degrees,NA,NA,Ferry,UNKNOWN,UNKNOWN,0,cm,NA,NA,NA,"COMMERCIAL ISLAND PASSENGER TRANSPORT CATAMARAN VESSEL; CAPTAIN SAW SPOUTS AND TOOK VESSEL OFF AUTOPILOT TO ATTEMPT TO DIVERT AROUND THE WHALES; FELT A ""NUDGE""; PASSENGER REPORTED SEEING THE WHALE POP UP AND RUN INTO THE SIDE OF THE VESSEL; 2ND OPERATOR SAW WHALE IN THE WAKE OF THE VESSEL BUT DID NOT OBSERVE ANY BLOOD IN THE WATER; DIVER EXAMINATION OF THE VESSEL HULL SHOWED NO SIGNS OF IMPACT OR DAMAGE; CAPTAIN REPORT OF VESSEL STRIKE; CAPTAIN SAW SPOUTS AND TOOK VESSEL OFF AUTOPILOT TO ATTEMPT TO DIVERT AROUND THE WHALES; FELT A ""NUDGE""; PASSENGER REPORTED SEEING THE WHALE POP UP AND RUN INTO THE SIDE OF THE VESSEL; 2ND OPERATOR SAW WHALE IN THE WAKE OF THE VESSEL BUT DID NOT OBSERVE ANY BLOOD IN THE WATER; DIVER EXAMINATION OF THE VESSEL HULL SHOWED NO SIGNS OF IMPACT OR DAMAGE. THIS WAS THE FERRY ROUTE BETWEEN CATALINA AND LONG BEACH, TYPICALLY VESSELS ARE >65FT AND TRAVEL IN EXCESS OF 10 KTS.",
CWC-JLH-12-1201D,Fin Whale,12/3/2012,2012,Beach or Land,Moderate Decomposition,DEAD,Yes,CA,15-Los Angeles,Malibu,Little Dume Beach,34.013172,decimal degrees,–118.792119,decimal degrees,12/4/2012,Moderate Decomposition,Unknown,MALE,SUBADULT,1249,cm,Y,12/4/2012,Towed,"Necropsy Report, Dr. Duane Tom: Morphologic diagnoses of pathological lesions: -Note: Although freshly appearing externally, there was significant autolysis internally. -Large cavernous abscess along L dorsal thorax. Fracture of a left transverse vertebral process with reactive bone and sequestra, though subacute trauma and osteomyelitis another posible rule-out. Gross necropsy summary diagnosis: The animal appears to have succumbed an injury consistent with an impact trauma along its left dorsal body by a large object (ship strike) resulting in severe musculoskeletal trauma and subsequent necrosis of the tissues. The fracture and reactive bone that communicated with the resultant cavernous abscess may indicate chronicity due to a previous injury that would be consistent with the superficially adjacent cutaneous scars, or osteomyelitis associated with the more acute suspect impact trauma.",
LACM-DSJ-2340,Fin Whale,2/26/2013,2013,Floating,Fresh Dead,DEAD,Yes,CA,15-Los Angeles,San Pedro,Los Angeles Harbor,,decimal degrees,,decimal degrees,2/27/2013,Fresh Dead,Shipping,MALE,UNKNOWN,576,in,N,,Towed,The animal was brought into the L.A. Harbor on the bow of the container ship Ever Dainty enroute from the south. I was not given time to work on the animal before it was towed back out to sea.,
CRC-1249,Fin Whale,4/13/2013,2013,Floating,Fresh Dead,DEAD,Yes,WA,King,Burien,Seahurst Park,47.481,decimal degrees,-122.3621,decimal degrees,4/13/2013,Fresh Dead,Unknown,UNKNOWN,ADULT,2000,cm,Y,4/13/2013,Towed,"HI form completed, final determination: Certain. Depression across back with associated abrasions and large amount of missing skin (not naturally sloughed). R pec fin abraided with broken and exposed bone, red paint on bone and surrounding exposed blubber",
